kusamakura-by-soseki-natsume-00001|草枕 夏目 漱石|k u s a m a k u r a n a ts u m e s o: s e k i
kusamakura-by-soseki-natsume-00002|やま みち を 登り ながら 、 こう 考え た 。 ち に 働け ば かど が 立つ 。|y a m a m i ch i o n o b o r i n a g a r a , k o: k a N g a e t a . ch i n i h a t a r a k e b a k a d o g a t a ts u .
kusamakura-by-soseki-natsume-00003|じょう に さおさせ ば 流さ れる 。 意地 を とおせ ば きゅうくつ だ 。|j o: n i s a o s a s e b a n a g a s a r e r u . i j i o t o: s e b a ky u: k u ts u d a .
kusamakura-by-soseki-natsume-00004|とかく に 人 の 世 は 住み にくい 。 住み にく さ が こうじる と 、|t o k a k u n i h i t o n o y o w a s u m i n i k u i . s u m i n i k u s a g a k o: j i r u t o ,
kusamakura-by-soseki-natsume-00005|安い 所 へ 引き越し たく なる 。 どこ へ 越し て も|y a s u i t o k o r o e h i k i k o sh i t a k u n a r u . d o k o e k o sh i t e m o
kusamakura-by-soseki-natsume-00006|住み にくい と さとっ た 時 、 詩 が 生れ て 、|s u m i n i k u i t o s a t o q t a t o k i , sh i g a u m a r e t e ,
kusamakura-by-soseki-natsume-00007|え が 出来る 。 人 の 世 を 作っ た もの は 神 で も なけれ ば 鬼 で も ない 。|e g a d e k i r u . h i t o n o y o o ts u k u q t a m o n o w a k a m i d e m o n a k e r e b a o n i d e m o n a i .
kusamakura-by-soseki-natsume-00008|やはり 向う 三 軒 りょう どなり に ちらちら する ただ の 人 で ある 。|y a h a r i m u k o: s a N k e N ry o: d o n a r i n i ch i r a ch i r a s u r u t a d a n o h i t o d e a r u .
kusamakura-by-soseki-natsume-00009|ただ の 人 が 作っ た 人 の 世 が 住み にくい から とて 、|t a d a n o h i t o g a ts u k u q t a h i t o n o y o g a s u m i n i k u i k a r a t o t e ,
kusamakura-by-soseki-natsume-00010|越す 国 は ある まい 。 あれ ば 人でなし の 国 へ 行く ばかり だ 。|k o s u k u n i w a a r u m a i . a r e b a h i t o d e n a sh i n o k u n i e i k u b a k a r i d a .
kusamakura-by-soseki-natsume-00011|人でなし の 国 は 人 の 世 より も なお 住み にくかろう 。|h i t o d e n a sh i n o k u n i w a h i t o n o y o y o r i m o n a o s u m i n i k u k a r o: .
kusamakura-by-soseki-natsume-00012|越す 事 の なら ぬ 世 が 住み にくけれ ば 、 住み にくい 所 を どれ ほど か 、 くつろげ て 、|k o s u k o t o n o n a r a n u y o g a s u m i n i k u k e r e b a , s u m i n i k u i t o k o r o o d o r e h o d o k a , k u ts u r o g e t e ,
kusamakura-by-soseki-natsume-00013|つかのま の 命 を 、 束の間 で も 住み よく せ ね ば なら ぬ 。|ts u k a n o m a n o i n o ch i o , ts u k a n o m a d e m o s u m i y o k u s e n e b a n a r a n u .
kusamakura-by-soseki-natsume-00014|ここ に 詩人 と いう 天職 が 出来 て 、 ここ に 画家 と いう 使命 が くだる 。|k o k o n i sh i j i N t o y u: t e N sh o k u g a d e k i t e , k o k o n i g a k a t o y u: sh i m e: g a k u d a r u .
kusamakura-by-soseki-natsume-00015|あらゆる 芸術 の 士 は 人 の 世 を のどか に し 、 人 の 心 を 豊か に する が ゆえ に たっとい 。|a r a y u r u g e: j u ts u n o sh i w a h i t o n o y o o n o d o k a n i sh i , h i t o n o k o k o r o o y u t a k a n i s u r u g a y u e n i t a q t o i .
kusamakura-by-soseki-natsume-00016|住み にくき 世 から 、 住み にく きわ ずらい を 引き抜い て 、|s u m i n i k u k i y o k a r a , s u m i n i k u k i w a z u r a i o h i k i n u i t e ,
kusamakura-by-soseki-natsume-00017|ありがたい 世界 を まのあたり に 写す の が 詩 で ある 、|a r i g a t a i s e k a i o m a n o a t a r i n i u ts u s u n o g a sh i d e a r u ,
kusamakura-by-soseki-natsume-00018|え で ある 。 ある は 音楽 と 彫刻 で ある 。|e d e a r u . a r u w a o N g a k u t o ch o: k o k u d e a r u .
